Processes: 384 total, 3 running, 381 sleeping, 1581 threads 
2019/10/10 08:50:40
Load Avg: 1.29, 1.31, 1.38 
CPU usage: 6.95% user, 9.56% sys, 83.47% idle 
SharedLibs: 322M resident, 50M data, 32M linkedit.
MemRegions: 80008 total, 3302M resident, 134M private, 1742M shared.
PhysMem: 11G used (2456M wired), 5439M unused.
VM: 2561G vsize, 1371M framework vsize, 839190(0) swapins, 1132923(0) swapouts.
Networks: packets: 473279/498M in, 596356/65M out.
Disks: 785930/11G read, 255904/8490M written.

PID   COMMAND          %CPU TIME     #TH    #WQ #PORTS MEM    PURG   CMPRS  PGRP PPID STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS   COW    MSGSENT   MSGRECV   SYSBSD    SYSMACH   CSW       PAGEINS IDLEW   POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
3938  top              0.0  00:00.19 1/1    0   14+    2480K+ 0B     0B     3938 3846 running  *0[1+]      0.00000 0.00000    0   1391+    120+   198466+   99232+    1689+     102023+   12+       0       0       0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
3846  bash             0.0  00:00.06 1      0   21+    2632K+ 0B     0B     3846 3845 sleeping *0[1+]      0.00000 0.00000    501 4177+    1718+  147+      64+       6082+     200+      228+      0       0       0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
3845  login            0.0  00:00.01 2      1   31+    1200K+ 0B     0B     3845 3641 sleeping *0[9+]      0.00000 0.00000    0   1805+    209+   122+      30+       1562+     261+      55+       0       1       0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
3741  ocspd            0.0  00:00.01 2      1   34+    1500K+ 0B     0B     3741 1    sleeping *0[1+]      0.00000 0.00000    0   1994+    164+   85+       28+       603+      297+      32+       0       4       0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
3740  cupsd            0.0  00:00.15 3      1   46+    4752K+ 0B     0B     3740 1    sleeping  0[0]       0.00000 0.00000    0   2889+    137+   132+      43+       1568+     272+      373+      82+     2       0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
3739  printtool        0.0  00:00.02 2      2   33+    1084K+ 0B     0B     3739 1    sleeping *0[4+]      0.00000 0.00000    501 2784+    144+   144+      40+       858+      303+      86+       59+     2       0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
3735  mdworker_shared  0.0  00:00.05 4      1   61+    5588K+ 0B     0B     3735 1    sleeping *0[1+]      0.00000 0.00000    501 6807+    189+   690+      287+      1069+     918+      241+      0       0       0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
3734  TextEdit         0.0  00:01.29 3      1   267+   21M+   80K+   0B     3734 1    sleeping  0[43+]     0.00000 0.00000    501 41005+   390+   13976+    3592+     18291+    26492+    9343+     902+    186     0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
3641  Terminal         0.0  00:12.22 10     5   381+   61M+   13M+   0B     3641 1    sleeping *0[124+]    0.00000 0.00000    501 123821+  562+   71574+    19094+    56709+    182424+   49413+    1398+   2279    0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
3608  QuickLookSatelli 0.0  00:00.14 2      1   66+    8516K+ 1812K+ 0B     3608 1    sleeping *0[3+]      0.00000 0.00000    501 7774+    280+   624+      197+      4823+     1794+     1229+     200+    29      0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
